,0.001,0.01,0.1,1.0,10.0
0.01,0.5873,0.5,0.5,0.5,0.5
0.1,0.5666,0.5,0.5,0.5,0.5
1.0,0.6072,0.4939,0.5,0.5,0.5
10.0,0.6079,0.4939,0.5,0.5,0.5
100.0,0.5994,0.4939,0.5,0.5,0.5
